_;Incr_NTqueues;BouabdallahLaforest;NotreAlgo;NotreAlgo_Pret;Optimal
1;13.1938;1.1262;10.4272;10.4761;32.51
2;12.7839;1.32817;14.8495;15.0591;39.55
4;7.03358;1.55278;16.4122;19.0114;43.90
8;2.89748;2.52786;11.825;14.3069;42.29
10;2.2127;3.03566;11.0958;13.0697;40.60
16;1.5775;4.61189;12.0396;13.2476;36.17
20;1.23158;5.47703;14.1862;14.4504;33.85
24;1.2117;7.25003;16.1362;16.3391;32.35
32;1.05184;9.71032;20.5792;20.5193;33.01
40;1.18023;12.5677;24.8678;24.8771;36.04
60;1.07626;23.0008;36.8559;37.1924;46.28
80;1.42284;35.6361;47.8448;48.1683;57.87
